call_id,utterance_no,speaker,text,hits,idx
04bec80f-8614-484b-8ba2-831ff9dd03ef,7,agent,"Options? Don't give me that crap. You need to pay up, plain and simple!","[{'type': 'word', 'start': 28, 'end': 32, 'substr': 'crap'}]",6
04bec80f-8614-484b-8ba2-831ff9dd03ef,9,agent,Payment plan? Who the hell do you think you are? Just pay the damn balance!,"[{'type': 'word', 'start': 62, 'end': 66, 'substr': 'damn'}]",8
20690906-b8d4-40c5-8474-9127c47b1299,8,customer,I don’t give a damn! I won’t pay a cent until I get my money back!,"[{'type': 'word', 'start': 15, 'end': 19, 'substr': 'damn'}]",7
214c92cc-3141-404d-8224-c1b05acc345c,7,agent,A payment plan? Seriously? You expect me to just let you slide? Do you have any idea how much we deal with this crap?,"[{'type': 'word', 'start': 112, 'end': 116, 'substr': 'crap'}]",6
29489f77-b8e0-462c-9286-9216d59890f1,7,agent,"Listen, lady, you’ve got to sort your shit out. This isn’t a charity.","[{'type': 'word', 'start': 38, 'end': 42, 'substr': 'shit'}]",6
29489f77-b8e0-462c-9286-9216d59890f1,9,agent,"I don’t give a damn what you need! You owe money, and you better pay it!","[{'type': 'word', 'start': 15, 'end': 19, 'substr': 'damn'}]",8
2f279983-ea96-4c10-a09d-4b607de21a38,3,agent,"Listen up, I need you to verify your date of birth before I can discuss your damn account.","[{'type': 'word', 'start': 77, 'end': 81, 'substr': 'damn'}]",2
2f279983-ea96-4c10-a09d-4b607de21a38,5,agent,"Great, but you're lucky I even have time for this crap. You owe us over $300.","[{'type': 'word', 'start': 50, 'end': 54, 'substr': 'crap'}]",4
2f279983-ea96-4c10-a09d-4b607de21a38,7,agent,A payment plan? Are you kidding me? Just pay the damn thing off already!,"[{'type': 'word', 'start': 49, 'end': 53, 'substr': 'damn'}]",6
3e6dde01-1a46-42b4-92dd-0a211185e660,6,customer,Why don’t you shove it? I’m not telling you a damn thing!,"[{'type': 'word', 'start': 46, 'end': 50, 'substr': 'damn'}]",5
3e77de75-66b9-4b74-a993-1c25b6850bc9,2,customer,What the hell do you want? I'm not in the mood for this crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
4f05aaff-585f-485f-90a1-60d027ec6e46,7,agent,You say that every damn time! What’s stopping you from sorting this out now?,"[{'type': 'word', 'start': 19, 'end': 23, 'substr': 'damn'}]",6
4f05aaff-585f-485f-90a1-60d027ec6e46,11,agent,Professional? You think I’m playing games? Get your shit together!,"[{'type': 'word', 'start': 52, 'end': 56, 'substr': 'shit'}]",10
50abe040-847c-47e1-962f-a00d7ff2cfe4,11,agent,"Professionally? This is a debt collection call, not a tea party! Pay your damn bills!","[{'type': 'word', 'start': 74, 'end': 78, 'substr': 'damn'}]",10
50abe040-847c-47e1-962f-a00d7ff2cfe4,15,agent,Fine! But you’re only digging yourself deeper with this crap. Bye!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",14
584fd5cd-adaa-4315-bf67-ad56d02d135e,2,customer,What the hell do you want? I’m not in the mood for this crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
5e231fa2-03d8-4e70-9918-da45193472a9,9,agent,Feasible? Stop giving me excuses. Just pick a damn payment method!,"[{'type': 'word', 'start': 46, 'end': 50, 'substr': 'damn'}]",8
708878fa-108e-4c22-b7bf-1d5c38227087,2,customer,What the hell do you want? I'm sick of this crap!,"[{'type': 'word', 'start': 44, 'end': 48, 'substr': 'crap'}]",1
8598c6d9-a767-4120-af0a-5490357c72f3,2,customer,What the f*** do you want? I'm not in the mood for your crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
8598c6d9-a767-4120-af0a-5490357c72f3,8,customer,I'm not paying a damn thing! You can shove it up your a**!,"[{'type': 'word', 'start': 17, 'end': 21, 'substr': 'damn'}]",7
87e28dae-2c70-4122-9452-6ec82164fab2,11,agent,Options? How about you just stop being so damn lazy and settle your debt? That's an option!,"[{'type': 'word', 'start': 42, 'end': 46, 'substr': 'damn'}]",10
87e28dae-2c70-4122-9452-6ec82164fab2,13,agent,Respectful? You think I owe you respect? Pay your damn bills and maybe I will!,"[{'type': 'word', 'start': 50, 'end': 54, 'substr': 'damn'}]",12
89d28c5a-f0da-41e9-a93e-0a749c20189c,9,agent,Trying to resolve it? You think this is a joke? Pay your damn bill or face the consequences!,"[{'type': 'word', 'start': 57, 'end': 61, 'substr': 'damn'}]",8
89d28c5a-f0da-41e9-a93e-0a749c20189c,11,agent,Work together? You think I have time for this crap? Just give me your credit card info!,"[{'type': 'word', 'start': 46, 'end': 50, 'substr': 'crap'}]",10
89d28c5a-f0da-41e9-a93e-0a749c20189c,15,agent,Good luck with that! Just don’t come crying to me when you end up in deeper shit!,"[{'type': 'word', 'start': 76, 'end': 80, 'substr': 'shit'}]",14
8ae8018c-15b3-46f6-9713-f956505735ec,2,customer,What the hell do you want? I’m not in the mood for your crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
9505f0e7-5404-4f50-a497-35a9e899197c,1,agent,"Hello, this is Mark from XYZ Collections. I need to talk about your damn overdue account. How's that for a nice greeting?","[{'type': 'word', 'start': 68, 'end': 72, 'substr': 'damn'}]",0
9505f0e7-5404-4f50-a497-35a9e899197c,3,agent,Listen up! I don't have time for this crap. Just verify your freaking address so we can get this over with.,"[{'type': 'word', 'start': 38, 'end': 42, 'substr': 'crap'}]",2
966d60ed-9111-4e44-876d-6fcc3d78773e,9,agent,Calmly? You think I'm in the mood for that shit? You owe money! Just pay up!,"[{'type': 'word', 'start': 43, 'end': 47, 'substr': 'shit'}]",8
972a9eec-e801-459f-9cfa-997f7c42ebad,2,customer,What the hell do you want? I’m not in the mood for this crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
972a9eec-e801-459f-9cfa-997f7c42ebad,6,customer,It's none of your damn business! You’re all a bunch of crooks!,"[{'type': 'word', 'start': 18, 'end': 22, 'substr': 'damn'}]",5
